team,date,wins,losses,ties
falcons,1966,3,11,0
falcons,1967,1,12,1
falcons,1968,2,12,0
falcons,1969,6,8,0
falcons,1970,4,8,2
falcons,1971,7,6,1
falcons,1972,7,7,0
falcons,1973,9,5,0
falcons,1974,3,11,0
falcons,1975,4,10,0
falcons,1976,4,10,0
falcons,1977,7,7,0
falcons,1978,9,7,0
falcons,1979,6,10,0
falcons,1980,12,4,0
falcons,1981,7,9,0
falcons,1982,5,4,0
falcons,1983,7,9,0
falcons,1984,4,12,0
falcons,1985,4,12,0
falcons,1986,7,8,1
falcons,1987,3,12,0
falcons,1988,5,11,0
falcons,1989,3,13,0
falcons,1990,5,11,0
falcons,1991,10,6,0
falcons,1992,6,10,0
falcons,1993,6,10,0
falcons,1994,7,9,0
falcons,1995,9,7,0
falcons,1996,3,13,0
falcons,1997,7,9,0
falcons,1998,14,2,0
falcons,1999,5,11,0
falcons,2000,4,12,0
falcons,2001,7,9,0
falcons,2002,9,6,1
falcons,2003,5,11,0
falcons,2004,11,5,0
falcons,2005,8,8,0
falcons,2006,7,9,0
falcons,2007,4,12,0
falcons,2008,11,5,0
falcons,2009,9,7,0
falcons,2010,13,3,0
falcons,2011,10,6,0
falcons,2012,13,3,0
aints,1967,3,11,0
aints,1968,4,9,1
aints,1969,5,9,0
aints,1970,2,11,1
aints,1971,4,8,2
aints,1972,2,11,1
aints,1973,5,9,0
aints,1974,5,9,0
aints,1975,2,12,0
aints,1976,4,10,0
aints,1977,3,11,0
aints,1978,7,9,0
aints,1979,8,8,0
aints,1980,1,15,0
aints,1981,4,12,0
aints,1982,4,5,0
aints,1983,8,8,0
aints,1984,7,9,0
aints,1985,5,11,0
aints,1986,7,9,0
aints,1987,12,3,0
aints,1988,10,6,0
aints,1989,9,7,0
aints,1990,8,8,0
aints,1991,11,5,0
aints,1992,12,4,0
aints,1993,8,8,0
aints,1994,7,9,0
aints,1995,7,9,0
aints,1996,3,13,0
aints,1997,6,10,0
aints,1998,6,10,0
aints,1999,3,13,0
aints,2000,10,6,0
aints,2001,7,9,0
aints,2002,9,7,0
aints,2003,8,8,0
aints,2004,8,8,0
aints,2005,3,13,0
aints,2006,10,6,0
aints,2007,7,9,0
aints,2008,8,8,0
aints,2009,13,3,0
aints,2010,11,5,0
aints,2011,13,3,0
aints,2012,7,9,0
cardinals,1920,6,2,1
cardinals,1921,3,3,2
cardinals,1922,8,3,0
cardinals,1923,8,4,0
cardinals,1924,5,4,1
cardinals,1925,11,2,1
cardinals,1926,5,6,1
cardinals,1927,3,7,1
cardinals,1928,1,5,0
cardinals,1929,6,6,1
cardinals,1930,5,6,2
cardinals,1931,5,4,0
cardinals,1932,2,6,2
cardinals,1933,1,9,1
cardinals,1934,5,6,0
cardinals,1935,6,4,2
cardinals,1936,3,8,1
cardinals,1937,5,5,1
cardinals,1938,2,9,0
cardinals,1939,1,10,0
cardinals,1940,2,7,2
cardinals,1941,3,7,1
cardinals,1942,3,8,0
cardinals,1943,0,10,0
cardinals,1944,0,10,0
cardinals,1945,1,9,0
cardinals,1946,6,5,0
cardinals,1947,9,3,0
cardinals,1948,11,1,0
cardinals,1949,6,5,1
cardinals,1950,5,7,0
cardinals,1951,3,9,0
cardinals,1952,4,8,0
cardinals,1953,1,10,1
cardinals,1954,2,10,0
cardinals,1955,4,7,1
cardinals,1956,7,5,0
cardinals,1957,3,9,0
cardinals,1958,2,9,1
cardinals,1959,2,10,0
cardinals,1960,6,5,1
cardinals,1961,7,7,0
cardinals,1962,4,9,1
cardinals,1963,9,5,0
cardinals,1964,9,3,2
cardinals,1965,5,9,0
cardinals,1966,8,5,1
cardinals,1967,6,7,1
cardinals,1968,9,4,1
cardinals,1969,4,9,1
cardinals,1970,8,5,1
cardinals,1971,4,9,1
cardinals,1972,4,9,1
cardinals,1973,4,9,1
cardinals,1974,10,4,0
cardinals,1975,11,3,0
cardinals,1976,10,4,0
cardinals,1977,7,7,0
cardinals,1978,6,10,0
cardinals,1979,5,11,0
cardinals,1980,5,11,0
cardinals,1981,7,9,0
cardinals,1982,5,4,0
cardinals,1983,8,7,1
cardinals,1984,9,7,0
cardinals,1985,5,11,0
cardinals,1986,4,11,1
