team,color
cardinals,#870619
falcons,#BD0D18
ravens,#280353
bills,#00338D
panthers,#0088CE
bears,#DD4814
bengals,#FB4F14
browns,#E34912
cowboys,#002244
broncos,#FB4F14
lions,#006DB0
packers,#213D30
texans,#02253A
colts,#003B7B
jaguars,#007198
chiefs,#B20032
dolphins,#006666
vikings,#3B0160
patriots,#0D254C
aints,#D2B887
giants,#192F6B
jets,#0C371D
raiders,#000000
eagles,#003B48
steelers,#F2C800
chargers,#5B92E5
fortyniners,#AF1E2C
seahawks,#4EAE47
rams,#13264B
buccaneers,#B20032
titans,#648FCC
redskins,#773141
